14585A Exported Waveform
Sampling Period:0.00012288
Date:Tue Jul 18 10:35:07 2023
Time,Active Instrument A Channel 1 Voltage Avg,Active Instrument A Channel 1 Current Avg,Active Instrument A Channel 1 Power Avg,Active Instrument A Channel 2 Current Avg,Active Instrument A Channel 3 Voltage Avg,Active Instrument A Channel 3 Current Avg,Active Instrument A Channel 3 Power Avg
0,1.65443503856659,0,0,0,0,0,0
0.00012288,1.65500915050507,0,0,0,0,0,0
0.00024576,1.65469026565552,0,0,0,0,0,0
0.00036864,1.65507304668427,0,0,0,0,0,0
0.00049152,1.6544988155365,0,0,0,0,0,0
0.0006144,1.65443503856659,0,0,0,0,0,0
0.00073728,1.65469026565552,0,0,0,0,0,0
0.00086016,1.65430736541748,0,0,0,0,0,0
0.00098304,1.65424370765686,0,0,0,0,0,0
0.00110592,1.6545627117157,0,0,0,0,0,0
0.0012288,1.65462636947632,0,0,0,0,0,0
0.00135168,1.65443503856659,0,0,0,0,0,0
0.00147456,1.65462636947632,0,0,0,0,0,0
0.00159744,1.65437126159668,0,0,0,0,0,0
0.00172032,1.6545627117157,0,0,0,0,0,0
0.0018432,1.6545627117157,0,0,0,0,0,0
0.00196608,1.6545627117157,0,0,0,0,0,0
0.00208896,1.65469026565552,0,0,0,0,0,0
0.00221184,1.65462636947632,0,0,0,0,0,0
0.00233472,1.65481781959534,0,0,0,0,0,0
0.0024576,1.65494537353516,0,0,0,0,0,0
0.00258048,1.65475404262543,0,0,0,0,0,0
0.00270336,1.6553281545639,0,0,0,0,0,0
0.00282624,1.65481781959534,0,0,0,0,0,0
0.00294912,1.65469026565552,0,0,0,0,0,0
0.003072,1.65513682365417,0,0,0,0,0,0
0.00319488,1.65469026565552,0,0,0,0,0,0
0.00331776,1.65462636947632,0,0,0,0,0,0
0.00344064,1.65475404262543,0,0,0,0,0,0
0.00356352,1.65500915050507,0,0,0,0,0,0
0.0036864,1.65469026565552,0,0,0,0,0,0
0.00380928,1.6544988155365,0,0,0,0,0,0
